exper_data_id	pop_label	data_group_name	date_str	time_str	temperature	rel_humidity	env_label	area.F
Block_0-20160627_080258_proc	GA150L56	Block_0	20160627	80258	21.2	58	NGM	0.0784909357798165
Block_0-20160627_083503_proc	GA150L56	Block_0	20160627	83503	21.4	58	NaCl	0.0468266026119403
Block_0-20160627_090745_proc	GA450L30	Block_0	20160627	90745	21.8	58	NaCl	0.060744117357695
Block_0-20160627_093623_proc	GA150L12	Block_0	20160627	93623	22.3	59	NGM	0.0989218137398971
Block_0-20160627_101021_proc	GA250L24	Block_0	20160627	101021	22.1	58	NaCl	0.0507415070342205
Block_0-20160627_103918_proc	GA250L24	Block_0	20160627	103918	22.1	58	NGM	0.0868966679030663
Block_0-20160627_111251_proc	GA250L51	Block_0	20160627	111251	22.1	58	NaCl	0.0463003709677419
Block_0-20160627_114301_proc	GA250L51	Block_0	20160627	114301	22.1	58	NGM	0.0835905515695067
Block_0-20160627_121402_proc	GA450L38	Block_0	20160627	121402	22.2	59	NGM	0.0952745283964365
Block_0-20160627_131111_proc	GA450L38	Block_0	20160627	131111	22.2	59	NaCl	0.0577312239382239
Block_0-20160627_134334_proc	GA150L12	Block_0	20160627	134334	22.3	59	NGM	0.0931947004025302
Block_0-20160627_141254_proc	GA150L12	Block_0	20160627	141254	22.3	59	NaCl	0.0602474815354713
Block_1-20160628_080206_proc	CA150L2	Block_1	20160628	80206	22	57	NGM	0.0417684327731092
Block_1-20160628_083025_proc	CA150L2	Block_1	20160628	83025	22	56	NaCl	0.0567834280205656
Block_1-20160628_090001_proc	CA350L1	Block_1	20160628	90001	22	56	NaCl	0.0832470600907029
Block_1-20160628_092753_proc	CA350L1	Block_1	20160628	92753	22.2	56	NGM	0.0797168903301887
Block_1-20160628_100043_proc	CA250L2	Block_1	20160628	100043	22.4	54	NGM	0.0501661573604061
Block_1-20160628_102900_proc	CA250L2	Block_1	20160628	102900	22.5	54	NaCl	0.0601331331220285
Block_1-20160628_105848_proc	CA350L2	Block_1	20160628	105848	22.6	54	NGM	0.0784436606591143
