"","gmax","g2","g3","g4","g5","g6","g7"
"Eigenvalues",0.356,0.113,0.05,0.02,0.009,0.005,0.003
"HPD lower",0.257,0.078,0.036,0.015,0.007,0.004,0.002
"HPD upper",0.449,0.156,0.068,0.029,0.014,0.006,0.004
"Proportion",0.64,0.203,0.09,0.036,0.016,0.009,0.005
"T12",-0.334,0.554,0.097,-0.004,0.595,0.467,0
"T13",-0.32,0.506,0.087,0.541,-0.252,-0.521,-0.083
"T21",0.179,-0.334,0.076,0.389,0.548,-0.186,-0.603
"T23",0.568,0.208,-0.419,0.543,-0.087,0.362,0.16
"T31",0.107,-0.125,0.079,0.12,0.48,-0.401,0.749
"T32",0.396,0.461,-0.36,-0.495,0.182,-0.425,-0.207
"area.F",-0.513,-0.234,-0.816,0.045,0.106,-0.055,0.017
