"","gmax","g2","g3","g4","g5","g6","g7"
"Eigenvalues",0.488,0.06,0.039,0.03,0.014,0.008,0.005
"HPD lower",0.271,0.046,0.03,0.022,0.011,0.007,0.004
"HPD upper",0.697,0.09,0.052,0.038,0.02,0.011,0.007
"Proportion",0.758,0.093,0.061,0.047,0.022,0.012,0.008
"T12",-0.36,-0.388,0.241,0.283,-0.466,0.58,0.165
"T13",-0.459,-0.409,0.394,-0.186,-0.057,-0.611,-0.234
"T21",0.267,0.303,0.129,0.24,-0.693,-0.443,0.296
"T23",0.532,-0.502,-0.117,-0.585,-0.316,0.088,-0.05
"T31",0.142,0.153,0.035,0.225,-0.257,0.118,-0.908
"T32",0.467,-0.496,0.15,0.619,0.323,-0.157,0.038
"area.F",-0.258,-0.264,-0.856,0.227,-0.173,-0.22,-0.041
