"","gmax","g2","g3","g4","g5","g6","g7"
"Eigenvalues",0.157,0.07,0.036,0.019,0.011,0.008,0.003
"HPD lower",0.085,0.039,0.023,0.013,0.008,0.005,0.002
"HPD upper",0.294,0.129,0.062,0.029,0.017,0.011,0.005
"Proportion",0.516,0.23,0.118,0.062,0.036,0.026,0.01
"T12",0.034,-0.529,-0.307,-0.19,-0.411,0.645,-0.056
"T13",-0.013,-0.663,-0.398,0.251,0.146,-0.56,0.066
"T21",0.096,0.122,0.03,-0.077,-0.714,-0.317,0.6
"T23",-0.659,-0.141,0.368,0.59,-0.215,0.13,0.005
"T31",0.029,0.113,-0.054,-0.011,-0.5,-0.325,-0.792
"T32",-0.578,-0.19,0.189,-0.738,0.066,-0.211,-0.006
"area.F",0.47,-0.444,0.757,-0.045,-0.009,-0.054,-0.068
