"","gmax","g2","g3","g4","g5","g6","g7"
"Eigenvalues",0.147,0.088,0.035,0.02,0.01,0.007,0.004
"HPD lower",0.086,0.046,0.023,0.014,0.008,0.005,0.003
"HPD upper",0.254,0.136,0.056,0.034,0.017,0.01,0.006
"Proportion",0.473,0.283,0.113,0.064,0.032,0.023,0.013
"T12",-0.363,-0.338,0.162,0.491,-0.472,0.45,0.247
"T13",-0.236,-0.568,0.517,-0.055,0.098,-0.569,-0.13
"T21",0.132,0.18,-0.098,-0.11,-0.629,-0.535,0.497
"T23",0.676,-0.484,0.117,-0.372,-0.243,0.311,-0.037
"T31",0.06,0.123,-0.079,0.214,-0.499,-0.141,-0.812
"T32",0.295,-0.419,-0.58,0.532,0.215,-0.26,0.068
"area.F",-0.498,-0.326,-0.583,-0.526,-0.133,0.05,-0.095
