contrast	estimate	SE	df	t.ratio	
A6140 NaCl - GA150 NaCl	-0.03	0.054	687.668	
A6140 NaCl - GA250 NaCl	-0.252	0.056	735.093	
A6140 NaCl - GA450 NaCl	-0.05	0.062	684.893	
A6140 NaCl - GA150 NaCl	-0.148	0.06	687.718	
A6140 NaCl - GA250 NaCl	-0.317	0.063	733.219	
A6140 NaCl - GA450 NaCl	-0.294	0.069	683.122	
A6140 NaCl - GA150 NaCl	0.117	0.036	692.681	
A6140 NaCl - GA250 NaCl	0.129	0.038	741.552	
A6140 NaCl - GA450 NaCl	0.143	0.042	691.12	
A6140 NaCl - GA150 NaCl	0.277	0.08	694.743	
A6140 NaCl - GA250 NaCl	0.441	0.083	743.203	
A6140 NaCl - GA450 NaCl	0.125	0.092	693.096	
A6140 NaCl - GA150 NaCl	0.09	0.025	692.857	
A6140 NaCl - GA250 NaCl	0.117	0.026	741.393	
A6140 NaCl - GA450 NaCl	0.147	0.029	691.012	
A6140 NaCl - GA150 NaCl	0.383	0.079	691.011	
A6140 NaCl - GA250 NaCl	0.341	0.083	737.288	
A6140 NaCl - GA450 NaCl	0.297	0.092	687.091	
A6140 NaCl - GA150 NaCl	-0.051	0.064	698.9	
A6140 NaCl - GA250 NaCl	-0.204	0.066	746.862	
A6140 NaCl - GA450 NaCl	-0.078	0.074	698.483	
