contrast	estimate	SE	df	t.ratio	p.value
A6140 NGM - GA150 NGM					0.000241406651330989
A6140 NGM - GA250 NGM					0.999999999534239
A6140 NGM - GA450 NGM					0.701642193063633
A6140 NGM - GA150 NGM					0.0138929363202152
A6140 NGM - GA250 NGM					0.508649957847826
A6140 NGM - GA450 NGM					0.994272805578284
A6140 NGM - GA150 NGM					0.999977681559994
A6140 NGM - GA250 NGM					0.97143521160893
A6140 NGM - GA450 NGM					0.999999978518714
A6140 NGM - GA150 NGM					0.0335215829916662
A6140 NGM - GA250 NGM					8.08061566812679e-05
A6140 NGM - GA450 NGM					0.999999999997889
A6140 NGM - GA150 NGM					0.0841136674087886
A6140 NGM - GA250 NGM					0.0328862936757903
A6140 NGM - GA450 NGM					9.93412877026145e-06
A6140 NGM - GA150 NGM					0.00473583961980473
A6140 NGM - GA250 NGM					6.22841840305366e-05
A6140 NGM - GA450 NGM					0.854674779616529
A6140 NGM - GA150 NGM					0
A6140 NGM - GA250 NGM					0
A6140 NGM - GA450 NGM					0
