T12	T13	T21	T23	T31	T32	area.F
env_labelNGM	-0.197118214296232	0.190529773309832	-0.209394314713032	0.147101217970963	-0.0825412129317231	-0.0279706457889999	1.21767637376536
populationGA150	0.0164970834314372	0.149228888733198	-0.12340871523357	-0.263743113108005	-0.0919180573473689	-0.374359065828772	0.0346252635526646
populationGA250	0.195814278413743	0.286794129153673	-0.130892657216442	-0.41704736488399	-0.125009444329044	-0.333237157507469	0.194196329564631
populationGA450	0.0118447145527833	0.254579671327129	-0.138743080773482	-0.135600073475471	-0.136076403351636	-0.283978555113359	0.0468299229052673
temperature	0.0648843511759201	0.0262467912079717	0.0126738762718351	0.0398879567343597	0.0019985468617853	0.102516501667688	-0.0120385451870659
rel_humidity	-0.0486252025176396	-0.0642802401319155	0.0415186108272329	-0.0461034044003923	0.0127809261111581	-0.0276129639592001	-0.0199181523640222
logD	0.259663877742081	0.30275545721588	-0.35270788672715	-0.452020512265401	-0.245023210777537	-0.342841153881399	0.145437203938731
is_2012TRUE	-0.211315960481798	-0.401191728873191	0.298939508613781	0.063677166199629	0.416452365736049	0.635588440978026	-0.669371629411006
date_str20120608	-0.229880193704422	-0.144386497553006	0.298798426573842	-0.273681692588871	0.391351240225893	0.229512283073451	-0.885596490635515
date_str20120609	-1.05098782444203	-0.905071195345529	0.718103795193168	0.151444820821843	0.419187948100903	-0.309028507180439	-1.13405405998795
date_str20120610	-0.585716135068187	-0.450432914450709	0.341797964114503	1.50873771640921	0.327971125589108	1.24691445994293	-1.92506109295319
date_str20120611	-0.775042429552288	-0.869186786279448	0.704665918751259	0.486998249417353	0.543838794070183	0.606833027286434	-1.38254022845147
date_str20120612	-0.976571194382913	-1.21176950309601	0.619390051275561	1.19303136895634	0.572698329699761	1.21709037837021	-1.20579944320112
date_str20120613	-0.134859332239431	-0.24597537016958	0.44645092652553	-0.313661007715451	0.482149175475901	0.223666820838891	-0.367710021825909
date_str20120614	0.339332242376644	0.0337160928140944	0.323744560476936	-0.57566507041161	0.408705973349286	-0.246030063399604	-0.303046386590103
date_str20120615	0.380601530054182	0.131550050501237	0.125107828382639	-0.135050587938935	0.330429526408219	0.153243042386316	-0.213554693724077
date_str20120616	0.0919692550334516	0.282951255490176	0.427821692855676	0.68218751386068	0.429234942821455	0.456397633826704	-0.624188018118915
date_str20120714	0.247850208487895	0.360764188267642	0.100305340234486	-0.468315528716389	0.153815621742012	-0.11847344714314	-0.782493327151226
date_str20120715	-0.238964452207764	-0.380912809545847	0.67341368957053	-1.51304668670129	0.464418309971241	-1.06548305230093	0.0693537421084124
date_str20120716	-0.147871323492778	-0.584637602378512	0.335867996225672	-1.33501463919781	0.421829911557503	-0.650049055378048	-0.131442206686661
date_str20120717	-0.199758120812706	-0.395143860534295	0.309405497088255	-0.312940288931656	0.41050282022948	-0.0273852139083481	-0.819725441423009
date_str20120718	0.103284046830342	-0.053693202722491	0.136667152822314	0.290589852067874	0.286089885560518	0.353675664446421	-0.896273035393934
date_str20120719	-0.249187196369628	-0.316405593833848	0.268687597626804	-0.826844162423207	0.366707056559083	-0.253712306926885	-1.14234212369157
date_str20120720	0.279965850895796	-0.0669787479151561	0.169907139484491	-1.2475242234857	0.136940666642151	-0.0838019687315522	-0.45068562189568
date_str20120721	0.150327242425651	0.211787401171988	-0.0319292245859527	-0.351973857925923	0.011305869017977	-0.239755505682262	-0.191769070090319
date_str20120722	0.384598592247621	0.48583873701068	-0.180514581666239	-0.863981592738358	-0.0625450190436085	-0.537075276940309	-0.00956119016075069
date_str20120723	0.188354923848818	-0.0949270720806596	0.156785109716406	-0.699648779946355	0.312343629100617	-0.0442681848482417	-0.186296449330093
date_str20120724	-0.327507529757376	-0.0824919726063137	0.233862280964053	1.10463829434544	0.244641964931131	0.824008744276299	-0.635148530860377
date_str20120725	-0.940750933209182	-0.82444529666273	0.545425525182558	-0.228874428545623	0.31338909682985	-0.791634958674419	-0.587147088014214
date_str20120726	0.0206851282573941	-0.201410314784807	0.296305698109189	0.367164244476452	0.284105793723056	0.84393758851476	-0.590414529024916
date_str20120727	0.170306613626401	-0.401365185339466	0.496860013539531	-0.347838843442232	0.384162034698372	0.507368384943547	-1.04123839990237
date_str20120728	0.703943059989884	0.19584904549764	-0.216126098811453	-0.817302328348169	0.107012745715138	0.283971357769305	0.0254420841984384
date_str20120729	0.258099480612367	0.05519689994619	0.342632987285559	-0.491186684132903	0.256872877487543	-0.0669227842829967	0.193293512771485
